keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
Regmi AD, 2014, ARAB J GEOSCI, V7, P725, DOI 10.1007/s12517-012-0807-z	22.0	0.019391162644825048	6.8225	2014	2015	2019	5	3.5	1	1
Pradhan B, 2010, ENVIRON ENG GEOSCI, V16, P107, DOI 10.2113/gseegeosci.16.2.107	19.0	6.801257708304826E-4	9.8255	2010	2013	2015	3	3.5	1	3
Yalcin A, 2011, CATENA, V85, P274, DOI 10.1016/j.catena.2011.01.014	25.0	0.001736267139510053	11.313	2011	2013	2016	4	3.5	1	2
Chen LCE, 2018, LECT NOTES COMPUT SC, V11211, P833, DOI 10.1007/978-3-030-01234-2, 49	42.0	0.01694084011090741	15.0343	2018	2021	2023	3	3.5	1	3
Hu F, 2015, REMOTE SENS-BASEL, V7, P14680, DOI 10.3390/rs71114680	22.0	0.0011806490254355044	7.6405	2015	2018	2020	3	3.5	1	3
Youssef AM, 2016, LANDSLIDES, V13, P839, DOI 10.1007/s10346-015-0614-1	20.0	0.009172671622272623	6.9422	2016	2018	2020	3	3.5	1	2
Pradhan B, 2011, ENVIRON EARTH SCI, V63, P329, DOI 10.1007/s12665-010-0705-1	20.0	0.011844530306497915	9.0382	2011	2013	2016	4	2.5	1	2
REDMON J, 2016, PROC CVPR IEEE, V0, PP779, DOI 10.1109/CVPR.2016.91	16.0	1.800590717448068E-4	6.763	2016	2019	2020	2	3.5	1	3
Huang B, 2018, REMOTE SENS ENVIRON, V214, P73, DOI 10.1016/j.rse.2018.04.050	24.0	0.003824987256415007	4.5405	2018	2021	2023	3	2.5	1	3
Zhong YF, 2013, PATTERN RECOGN, V46, P2902, DOI 10.1016/j.patcog.2013.04.009	7.0	2.402169624277666E-4	4.0401	2013	2015	2016	2	1.5	1	2
Poudyal CP, 2010, ENVIRON EARTH SCI, V61, P1049, DOI 10.1007/s12665-009-0426-5	9.0	0.022669233244613864	4.6416	2010	2013	2015	3	2.5	1	3
Bui DT, 2012, GEOMORPHOLOGY, V171, P12, DOI 10.1016/j.geomorph.2012.04.023	28.0	0.128479807238992	10.7236	2012	2013	2017	5	2.5	1	1
Yilmaz I, 2010, ENVIRON EARTH SCI, V61, P821, DOI 10.1007/s12665-009-0394-9	24.0	0.0023123820638159586	12.428	2010	2013	2015	3	3.5	1	3
Choi J, 2012, ENG GEOL, V124, P12, DOI 10.1016/j.enggeo.2011.09.011	18.0	0.005319531849779735	8.0581	2012	2014	2017	4	3.5	1	2
Zhang LP, 2016, IEEE GEOSC REM SEN M, V4, P22, DOI 10.1109/MGRS.2016.2540798	44.0	0.008292523241685477	8.1607	2016	2018	2021	4	3.5	1	2
Lin TY, 2017, PROC CVPR IEEE, V0, PP936, DOI 10.1109/CVPR.2017.106	36.0	0.009386214651215028	14.1822	2017	2021	2023	3	3.5	1	4
He KM, 2015, IEEE I CONF COMP VIS, V0, PP1026, DOI 10.1109/ICCV.2015.123	28.0	0.0016012881212683736	9.7396	2015	2018	2020	3	4.5	1	3
Hong HY, 2015, CATENA, V133, P266, DOI 10.1016/j.catena.2015.05.019	13.0	0.028976620371491586	7.1518	2015	2017	2018	2	2.5	1	2
He Kaiming, 2016, PROC CVPR IEEE, V0, P630	46.0	8.419775602219217E-4	19.601	2016	2019	2020	2	3.5	1	3
