
PT J
AU Yuan, LN
   Li, L
   Zhang, T
   Chen, LQ
   Liu, WQ
   Hu, S
   Yang, LH
AF Yuan, Lina
   Li, Long
   Zhang, Ting
   Chen, Longqian
   Liu, Weiqiang
   Hu, Sai
   Yang, Longhua
TI Modeling Soil Moisture from Multisource Data by Stepwise Multilinear Regression: An Application to the Chinese Loess Plateau
SO ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION
LA English
DT Article
DE relative soil moisture; Chinese Loess Plateau; stepwise multilinear regression; dummy variables
ID multiple-linear-regression; artificial neural-networks; land-surface model; water content; data assimilation; small catchment; amsr-e; temporal variations; dummy variables; re-vegetation
AB This study aims to integrate multisource data to model the relative soil moisture (RSM) over the Chinese Loess Plateau in 2017 by stepwise multilinear regression (SMLR) in order to improve the spatial coverage of our previously published RSM. First, 34 candidate variables (12 quantitative and 22 dummy variables) from the Moderate Resolution Imaging Spectroradiometer (MODIS) and topographic, soil properties, and meteorological data were preprocessed. Then, SMLR was applied to variables without multicollinearity to select statistically significant (p-value < 0.05) variables. After the accuracy assessment, monthly, seasonal, and annual spatial patterns of RSM were mapped at 500 m resolution and evaluated. The results indicate that there was a high potential of SMLR to model RSM with the desired accuracy (best fit of the model with Pearson's r = 0.969, root mean square error = 0.761%, and mean absolute error = 0.576%) over the Chinese Loess Plateau. The variables of elevation (0-500 m and 2000-2500 m), precipitation, soil texture of loam, and nighttime land surface temperature can continuously be used in the regression models for all seasons. Including dummy variables improved the model fit both in calibration and validation. Moreover, the SMLR-modeled RSM achieved better spatial coverage than that of the reference RSM for almost all periods. This is a significant finding as the SMLR method supports the use of multisource data to complement and/or replace coarse resolution satellite imagery in the estimation of RSM.
C1 [Yuan, Lina; Li, Long; Zhang, Ting; Chen, Longqian] China Univ Min & Technol, Sch Publ Policy & Management, Daxue Rd 1, Xuzhou 221116, Jiangsu, Peoples R China.
   [Li, Long] Vrije Univ Brussel, Dept Geog & Earth Syst Sci, Pl Laan 2, B-1050 Brussels, Belgium.
   [Liu, Weiqiang] China Univ Min & Technol, Sch Environm & Spatial Informat, Daxue Rd 1, Xuzhou 221116, Jiangsu, Peoples R China.
   [Hu, Sai] Jiangsu Ocean Univ, Sch Humanities & Law, Cangwu Rd 59, Lianyungang 222005, Peoples R China.
   [Yang, Longhua] Shanghai Gongjing Environm Protect Co Ltd, Dept Res & Dev, Yuanjiang Rd 525, Shanghai 201100, Peoples R China.
C3 China University of Mining & Technology; Vrije Universiteit Brussel; China University of Mining & Technology; Jiangsu Ocean University
RP Chen, LQ (corresponding author), China Univ Min & Technol, Sch Publ Policy & Management, Daxue Rd 1, Xuzhou 221116, Jiangsu, Peoples R China.
EM lnyuan@cumt.edu.cn; long.li@cumt.edu.cn; tingzhang@cumt.edu.cn; chenlq@cumt.edu.cn; weiqiang.liu@cumt.edu.cn; saihu@jou.edu.cn; yanglh3@163.com
FU Fundamental Research Funds for the Central Universities [2018ZDPY07]
CR Abowarda AS, 2021, REMOTE SENS ENVIRON, V255, P0, DOI 10.1016/j.rse.2021.112301
   Albertson JD, 2001, J HYDROL, V243, P101, DOI 10.1016/S0022-1694(00)00405-4
   Awange JL, 2014, ADV WATER RESOUR, V74, P64, DOI 10.1016/j.advwatres.2014.07.012
   Bayat AT, 2020, PROCEEDINGS OF 2020 IEEE INTERNATIONAL WORKSHOP ON METROLOGY FOR AGRICULTURE AND FORESTRY (METROAGRIFOR), V0, PP201, DOI 10.1109/MetroAgriFor50201.2020.9277557
   Bortolini D, 2018, REV BRAS CIENC SOLO, V42, P0, DOI 10.1590/18069657rbcs20170250
   Brust C, 2021, REMOTE SENS ENVIRON, V255, P0, DOI 10.1016/j.rse.2020.112277
   Capodici F, 2020, GEOSCIENCES, V10, P0, DOI 10.3390/geosciences10010023
   Carranza C, 2021, J HYDROL, V593, P0, DOI 10.1016/j.jhydrol.2020.125840
   Cenci L, 2018, REMOTE SENS-BASEL, V10, P0, DOI 10.3390/rs10121950
   Chakravorty A, 2016, REMOTE SENS ENVIRON, V186, P514, DOI 10.1016/j.rse.2016.09.011
   Chen DS, 2017, FORESTS, V8, P0, DOI 10.3390/f8080268
   Chen JA, 2011, INT J REMOTE SENS, V32, P1165, DOI 10.1080/01431160903527421
   Chen MX, 2020, EARTH SPACE SCI, V7, P0, DOI 10.1029/2020EA001108
   Chen T, 2014, REMOTE SENS ENVIRON, V140, P330, DOI 10.1016/j.rse.2013.08.022
   Chen ZL, 2019, CHEMOMETR INTELL LAB, V195, P0, DOI 10.1016/j.chemolab.2019.103874
